geography,name,county,total,percent
36029000110,"Census Tract 1.10, Erie County, New York",Erie,2437,14.50
36029000200,"Census Tract 2, Erie County, New York",Erie,3985,17.60
36029000500,"Census Tract 5, Erie County, New York",Erie,1641,37.40
36029000600,"Census Tract 6, Erie County, New York",Erie,4207,6.00
36029000700,"Census Tract 7, Erie County, New York",Erie,3389,4.20
36029000800,"Census Tract 8, Erie County, New York",Erie,4633,11.90
36029000900,"Census Tract 9, Erie County, New York",Erie,2438,9.60
36029001000,"Census Tract 10, Erie County, New York",Erie,6011,15.70
36029001100,"Census Tract 11, Erie County, New York",Erie,2755,14.30
36029001403,"Census Tract 14.03, Erie County, New York",Erie,2090,43.20
36029001404,"Census Tract 14.04, Erie County, New York",Erie,738,52.70
36029001500,"Census Tract 15, Erie County, New York",Erie,1511,21.80
36029001601,"Census Tract 16.01, Erie County, New York",Erie,1530,54.60
36029001602,"Census Tract 16.02, Erie County, New York",Erie,1096,45.30
36029001700,"Census Tract 17, Erie County, New York",Erie,1910,46.30
36029001900,"Census Tract 19, Erie County, New York",Erie,3295,17.90
36029002300,"Census Tract 23, Erie County, New York",Erie,3451,37.60
36029002400,"Census Tract 24, Erie County, New York",Erie,3285,25.00
36029002502,"Census Tract 25.02, Erie County, New York",Erie,1807,38.70
36029002703,"Census Tract 27.03, Erie County, New York",Erie,1149,71.50
36029002704,"Census Tract 27.04, Erie County, New York",Erie,2111,47.10
36029002801,"Census Tract 28.01, Erie County, New York",Erie,1244,68.10
36029002802,"Census Tract 28.02, Erie County, New York",Erie,949,33.10
36029002900,"Census Tract 29, Erie County, New York",Erie,1729,42.90
36029003000,"Census Tract 30, Erie County, New York",Erie,2807,41.50
36029003100,"Census Tract 31, Erie County, New York",Erie,2379,24.30
36029003301,"Census Tract 33.01, Erie County, New York",Erie,3321,23.50
36029003302,"Census Tract 33.02, Erie County, New York",Erie,2410,28.60
36029003400,"Census Tract 34, Erie County, New York",Erie,2873,34.00
36029003501,"Census Tract 35.01, Erie County, New York",Erie,1354,48.30
36029003502,"Census Tract 35.02, Erie County, New York",Erie,1578,3.90
36029003600,"Census Tract 36, Erie County, New York",Erie,2621,33.70
36029003700,"Census Tract 37, Erie County, New York",Erie,3644,39.20
36029003800,"Census Tract 38, Erie County, New York",Erie,3096,50.80
36029003901,"Census Tract 39.01, Erie County, New York",Erie,913,48.40
36029004002,"Census Tract 40.02, Erie County, New York",Erie,1185,34.00
36029004003,"Census Tract 40.03, Erie County, New York",Erie,3124,35.50
36029004100,"Census Tract 41, Erie County, New York",Erie,4354,29.20
36029004200,"Census Tract 42, Erie County, New York",Erie,3865,38.00
36029004300,"Census Tract 43, Erie County, New York",Erie,6666,26.00
36029004401,"Census Tract 44.01, Erie County, New York",Erie,4966,27.50
36029004402,"Census Tract 44.02, Erie County, New York",Erie,2474,55.00
36029004500,"Census Tract 45, Erie County, New York",Erie,5219,10.70
36029004601,"Census Tract 46.01, Erie County, New York",Erie,3372,39.30
36029004701,"Census Tract 47.01, Erie County, New York",Erie,2074,13.90
36029004702,"Census Tract 47.02, Erie County, New York",Erie,4268,39.60
36029004800,"Census Tract 48, Erie County, New York",Erie,3805,8.50
36029004901,"Census Tract 49.01, Erie County, New York",Erie,1547,21.00
